iter	Passed	Remaining
0	2	239
1	4	205
2	5	189
3	7	180
4	9	175
5	10	169
6	12	164
7	13	160
8	15	158
9	17	155
10	18	152
11	20	148
12	21	144
13	23	141
14	24	137
15	25	132
16	26	128
17	27	124
18	28	120
19	28	115
20	29	111
21	30	108
22	31	104
23	31	101
24	32	97
25	33	94
26	33	91
27	34	87
28	34	84
29	35	82
30	35	79
31	36	77
32	36	74
33	37	72
34	37	70
35	38	68
36	38	66
37	39	64
38	39	62
39	40	60
40	40	58
41	40	56
42	41	54
43	41	53
44	42	51
45	42	50
46	43	48
47	43	47
48	44	45
49	44	44
50	45	43
51	45	41
52	45	40
53	46	39
54	46	38
55	47	37
56	47	35
57	48	34
58	48	33
59	49	32
60	50	31
61	50	31
62	51	30
63	51	29
64	52	28
65	52	27
66	53	26
67	53	25
68	54	24
69	54	23
70	55	22
71	55	21
72	56	20
73	56	19
74	57	19
75	57	18
76	58	17
77	58	16
78	59	15
79	59	14
80	60	14
81	60	13
82	60	12
83	61	11
84	61	10
85	62	10
86	62	9
87	63	8
88	63	7
89	64	7
90	64	6
91	65	5
92	65	4
93	66	4
94	66	3
95	67	2
96	67	2
97	68	1
98	68	0
99	69	0
